entities_processed,system_time_avg,average_wip,max_wip,final_wip,system_time_avg_detailed,system_time_std,system_time_min,system_time_max,UCP_queue_time,UCP_service_time,UCP_system_time,Parto_Cesarea_queue_time,Parto_Cesarea_service_time,Parto_Cesarea_system_time,Inducao_queue_time,Inducao_service_time,Inducao_system_time,Testes_Neonatais_queue_time,Testes_Neonatais_service_time,Testes_Neonatais_system_time,Aloj_Sozinha_Normal_queue_time,Aloj_Sozinha_Normal_service_time,Aloj_Sozinha_Normal_system_time,Aloj_Conjunto_Cesarea_queue_time,Aloj_Conjunto_Cesarea_service_time,Aloj_Conjunto_Cesarea_system_time,Triagem_queue_time,Triagem_service_time,Triagem_system_time,Aloj_Sozinha_Cesarea_queue_time,Aloj_Sozinha_Cesarea_service_time,Aloj_Sozinha_Cesarea_system_time,Trabalho_parto_queue_time,Trabalho_parto_service_time,Trabalho_parto_system_time,Aval_inicial_queue_time,Aval_inicial_service_time,Aval_inicial_system_time,Pos_Parto_queue_time,Pos_Parto_service_time,Pos_Parto_system_time,Aloj_Conjunto_Normal_queue_time,Aloj_Conjunto_Normal_service_time,Aloj_Conjunto_Normal_system_time,Recepcao_queue_time,Recepcao_service_time,Recepcao_system_time,Parto_Normal_queue_time,Parto_Normal_service_time,Parto_Normal_system_time,ProcEspecial_queue_time,ProcEspecial_service_time,ProcEspecial_system_time,Consulta_queue_time,Consulta_service_time,Consulta_system_time,Exames_e_Observacao_queue_time,Exames_e_Observacao_service_time,Exames_e_Observacao_system_time,recepcionista_utilization,recepcionista_avg_queue,recepcionista_avg_in_service,recepcionista_max_queue,enf_triagem_utilization,enf_triagem_avg_queue,enf_triagem_avg_in_service,enf_triagem_max_queue,med_consulta_utilization,med_consulta_avg_queue,med_consulta_avg_in_service,med_consulta_max_queue,consultorio_utilization,consultorio_avg_queue,consultorio_avg_in_service,consultorio_max_queue,tec_enf_bloco_utilization,tec_enf_bloco_avg_queue,tec_enf_bloco_avg_in_service,tec_enf_bloco_max_queue,sala_proc_esp_utilization,sala_proc_esp_avg_queue,sala_proc_esp_avg_in_service,sala_proc_esp_max_queue,leito_inducao_utilization,leito_inducao_avg_queue,leito_inducao_avg_in_service,leito_inducao_max_queue,sala_parto_normal_utilization,sala_parto_normal_avg_queue,sala_parto_normal_avg_in_service,sala_parto_normal_max_queue,med_obstetra_utilization,med_obstetra_avg_queue,med_obstetra_avg_in_service,med_obstetra_max_queue,med_pediatra_utilization,med_pediatra_avg_queue,med_pediatra_avg_in_service,med_pediatra_max_queue,enf_obstetra_utilization,enf_obstetra_avg_queue,enf_obstetra_avg_in_service,enf_obstetra_max_queue,enf_neonatal_utilization,enf_neonatal_avg_queue,enf_neonatal_avg_in_service,enf_neonatal_max_queue,sala_cesarea_utilization,sala_cesarea_avg_queue,sala_cesarea_avg_in_service,sala_cesarea_max_queue,med_anestesista_utilization,med_anestesista_avg_queue,med_anestesista_avg_in_service,med_anestesista_max_queue,leito_ucp_utilization,leito_ucp_avg_queue,leito_ucp_avg_in_service,leito_ucp_max_queue,tec_enf_neonatal_utilization,tec_enf_neonatal_avg_queue,tec_enf_neonatal_avg_in_service,tec_enf_neonatal_max_queue,alojamento_utilization,alojamento_avg_queue,alojamento_avg_in_service,alojamento_max_queue,Desvio_Saida_percentage,Desvio_Proc_Esp_percentage,Desvio_Parto_percentage,Desvio_Internacao_ext_percentage,Desvio_Exames_Observacao_percentage,Define_Parto_Trabalho_Parto_percentage,Define_Parto_Cesarea_risco_percentage,Define_Parto_Inducao_percentage,Inducao_funcionou_Sim_percentage,Inducao_funcionou_Nao_percentage,Precisa_UCP_Sim_percentage,Precisa_UCP_Nao_percentage,UCP_funcionou_Sim_percentage,UCP_funcionou_Nao_percentage,Decide_Aloj_Conjunto_Normal_percentage,Decide_Aloj_Conjunto_Cesarea_percentage,Decide_Aloj_Sozinha_Normal_percentage,Decide_Aloj_Sozinha_Cesarea_percentage,total_revenue,total_costs,net_profit,avg_revenue_per_entity,avg_cost_per_entity,avg_profit_per_entity,Consulta_total_cost,Exames_total_cost,Aloj_total_cost,ProcEspecial_total_cost,UCP_total_cost
1187,818.8278106055426,12.35021857650407,24,9,818.8278106055426,1628.307811863897,19.885871383783524,11920.111146801,0.0,10460.937283775806,10460.937283775806,15.392288191835501,88.86730476613093,104.25959295796643,177.8282247466414,830.1704878552816,1007.998712601923,0.0,14.971755784580655,14.971755784580655,0.0,1462.8727377801808,1462.8727377801808,0.0,2896.559665694986,2896.559665694986,0.08538216854020025,4.9902598217287695,5.07564199026897,0.0,2882.1999343211914,2882.1999343211914,0.0,476.41389220479573,476.41389220479573,9.526968546272157,89.57131805094716,99.09828659721931,0.0,177.4403463577,177.4403463577,0.0,1424.223422209011,1424.223422209011,0.6480813591388253,6.317635289618677,6.965716648757502,16.254376499910975,60.430114172049294,76.68449067196028,0.0,41.16325455805482,41.16325455805482,0.819702650407214,18.777733399088486,19.5974360494957,0,178.82565900244364,178.82565900244364,0.16803468767116897,0.004612806314821016,0.16803468767116897,3,0.1324357775311462,0.0,0.1324357775311462,1,0.26982615395985343,0.006180442003764046,0.5396523079197069,4,0.26982615395985343,0.006180442003764046,0.5396523079197069,4,0.19763474221488506,0.0,1.1858084532893103,1,0.011853293197345825,0.0,0.011853293197345825,0,0.39503673092578756,0.026578129136872203,0.7900734618515751,3,0.06896271190887744,0.0,0.2068881357266323,1,0.275377103781349,0.03996840495951815,0.275377103781349,3,0.23220534295279982,0.02138245984729239,0.6966160288583995,2,0.275377103781349,0.03996840495951815,0.275377103781349,3,0.32802328363058253,0.06195192144452677,0.6560465672611651,3,0.09995655113227465,0.0,0.09995655113227465,1,0.09995655113227465,0.0,0.09995655113227465,1,0.31832052181066567,0.0,5.093128348970651,0,0.3218183586879907,0.0,5.149093739007851,0,0.30692847621828767,0.0,7.673211905457191,0,70.94717668488161,1.0018214936247722,14.571948998178508,6.193078324225866,7.285974499089254,55.00000000000001,22.5,22.5,80.0,20.0,10.062893081761008,89.937106918239,94.44444444444444,5.555555555555555,66.0377358490566,23.89937106918239,6.918238993710692,3.1446540880503147,308957.5599999989,1465030.2000000128,-1156072.6400000139,260.2843807919115,1234.2293176074245,-973.944936815513,609605.7000000117,10495.169999999987,400197.0000000011,429.3299999999999,444303.0
871,89.78073462449781,91.15689091898764,179,179,89.78073462449782,310.7730490440391,20.47433448531592,3409.5159368155387,,,,15.953833317726321,91.52480750837555,107.47864082610187,,,,0.0,13.803009260942986,13.803009260942986,,,,0.0,2968.6262191571086,2968.6262191571086,0.10603463552707512,5.017083411283732,5.123118046810807,,,,0.0,474.2768687381707,474.2768687381707,21.330954265027305,85.59083183200958,106.92178609703689,0.0,184.50289880877972,184.50289880877972,0.0,1512.7404332569258,1512.7404332569258,0.732188996813501,6.302314960929089,7.03450395774259,52.38845179051691,60.93910177906135,113.32755356957827,,,,0.6415818435304063,18.93052655100031,19.572108394530716,0,180.411238911292,180.411238911292,0.16890156171137302,0.006041268532262382,0.16890156171137302,3,0.1342539328131365,0.0,0.1342539328131365,1,0.2746566566796842,0.0036362542055890855,0.5493133133593684,3,0.2746566566796842,0.0036362542055890855,0.5493133133593684,3,0.9983662303963597,81.5826483813081,5.990197382378159,168,0.8550307080719126,1.7673221299682158,0.8550307080719126,4,0.9786283207011707,11.716194082074027,1.9572566414023413,26,1.0,47.24289572759825,3.0,98,1.0,68.36242776390868,1.0,138,0.9999999999999996,68.36242776390868,2.9999999999999987,138,1.0,68.36242776390868,1.0,138,1.0,69.36242776390871,2.0,139,1.0,17.11953203631045,1.0,36,1.0,17.11953203631045,1.0,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0032396168330846293,0.0,0.08099042082711573,0,71.86654643823263,0.5410279531109108,14.337240757439135,5.410279531109107,7.8449053201082055,61.0062893081761,22.0125786163522,16.9811320754717,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22590.61999999998,545783.0900000081,-523192.4700000081,25.93641791044774,626.6166360505259,-600.6802181400782,515453.5000000081,11272.589999999986,19057.0,,
939,209.29899665057695,72.94003638577975,143,141,209.29899665057695,821.3438830641,20.641537023417186,11464.006336204915,0.0,10657.397289067441,10657.397289067441,28.735240640703296,91.48210466451842,120.21734530522171,51.40737841212914,746.2579305609679,797.665308973097,0.0,14.296828976636487,14.296828976636487,0.0,1598.1294024630938,1598.1294024630938,0.0,2977.589444561178,2977.589444561178,0.09525135136196379,5.074379519267357,5.16963087062932,,,,0.0,497.4817438507567,497.4817438507567,83.19015143021079,88.89908110279323,172.089232533004,0.0,182.22119489416076,182.22119489416076,0.0,1459.8984076701975,1459.8984076701975,0.7518416420821586,6.40915992993809,7.161001572020249,153.1425544856652,59.797100552305864,212.93965503797105,0.0,43.99789301604936,43.99789301604936,0.8004662134482536,18.86819540456843,19.66866161801668,0,176.13835918330804,176.13835918330804,0.17309046475765152,0.004224055878620775,0.17309046475765152,2,0.13629974810412107,0.0,0.13629974810412107,1,0.2764314174366417,0.005072760881364109,0.5528628348732834,3,0.2764314174366417,0.005072760881364109,0.5528628348732834,3,0.9447816968976567,62.96143106293718,5.66869018138594,132,0.7252832257253953,1.5898646108070411,0.7252832257253953,3,0.8643482540661204,5.694530592716279,1.7286965081322407,14,0.9424467496205947,36.779691297956475,2.827340248861784,78,0.9557142694834272,56.22823141859571,0.9557142694834272,115,0.9554790637684891,55.287785247145,2.8664371913054674,114,0.9557142694834272,56.22823141859571,0.9557142694834272,115,0.9607617009196879,56.232699036611116,1.9215234018393759,115,0.9038404463151231,15.74023823825684,0.9038404463151231,33,0.9038404463151231,15.74023823825684,0.9038404463151231,33,0.04470477438122454,0.0,0.7152763900995927,0,0.04496127095341937,0.0,0.7193803352547099,0,0.036036260170331166,0.0,0.9009065042582792,0,72.56478999106345,0.6255585344057194,13.047363717605004,6.523681858802502,7.238605898123325,60.273972602739725,26.027397260273972,13.698630136986301,100.0,0.0,8.333333333333332,91.66666666666666,100.0,0.0,61.53846153846154,30.76923076923077,7.6923076923076925,0.0,67265.70000000003,689792.4000000091,-622526.700000009,71.63546325878598,734.6031948881886,-662.9677316294026,544056.7000000092,10624.739999999987,60982.399999999994,78.06,74050.5
1277,792.7001905427084,13.828255443308038,25,18,792.7001905427085,1591.8047486409603,20.059466284124028,11601.724605636377,0.0,10572.812241480904,10572.812241480904,18.132801938571195,90.52653160476159,108.65933354333278,88.99044190231497,855.5160346342957,944.5064765366106,0.0,14.947429876196917,14.947429876196917,0.0,1467.6715016875828,1467.6715016875828,0.0,2865.1792875845485,2865.1792875845485,0.06251870388263407,4.985955840768748,5.0484745446513815,0.0,2928.8703190338815,2928.8703190338815,0.0,471.22013914292864,471.22013914292864,11.400012635832002,91.43984590100287,102.83985853683487,0.0,180.74006182897935,180.74006182897935,0.0,1444.0281409331249,1444.0281409331249,0.7509114248544109,6.387327678067753,7.138239102922164,17.232688956467275,60.169017342399606,77.40170629886688,0.0,44.01392962145136,44.01392962145136,0.7800250483328829,18.991907564531978,19.771932612864862,0,185.22456004049891,185.22456004049891,0.18656734740070252,0.005030931313290739,0.18656734740070252,2,0.14582286773941755,0.0,0.14582286773941755,1,0.299500934674047,0.004849775057623661,0.599001869348094,3,0.299500934674047,0.004849775057623661,0.599001869348094,3,0.23177617567984246,0.0019536454788826227,1.3906570540790548,1,0.016130759547128816,0.0,0.016130759547128816,0,0.4392148439849103,0.0304310735786097,0.8784296879698206,2,0.095242287554071,0.0,0.28572686266221303,0,0.3346065553856711,0.09083609277538603,0.3346065553856711,4,0.2889408655934091,0.0733994319103484,0.8668225967802272,4,0.3346065553856711,0.09083609277538603,0.3346065553856711,4,0.3876264890665629,0.16496905055744987,0.7752529781331258,5,0.11379704307444219,0.005763083510650633,0.11379704307444219,1,0.11379704307444219,0.005763083510650633,0.11379704307444219,1,0.35492416595536164,0.0,5.678786655285786,0,0.358778877726212,0.0,5.740462043619392,0,0.33721666845217163,0.0,8.430416711304291,0,70.97581317764804,1.1676396997497915,15.42952460383653,5.421184320266889,7.005838198498749,58.37837837837838,20.54054054054054,21.08108108108108,75.0,25.0,11.299435028248588,88.70056497175142,100.0,0.0,65.36312849162012,23.463687150837988,8.938547486033519,2.2346368715083798,314261.81999999785,1533327.2300000149,-1219065.410000017,246.09382928739063,1200.7261002349373,-954.6322709475465,658469.5000000136,10754.309999999987,419254.0000000013,546.4199999999998,444303.0
1223,821.2154456446154,13.69000780162253,26,17,821.2154456446154,1550.8862870173768,18.801319977745152,11640.64460956617,0.0,10673.716174088506,10673.716174088506,20.4630534389967,89.37767331675902,109.84072675575572,39.975783786848325,888.1001755783466,928.0759593651949,0.0,14.774320552816256,14.774320552816256,0.0,1424.6704220416673,1424.6704220416673,0.0,2914.502407744116,2914.502407744116,0.07632025852916333,4.999062892175592,5.075383150704756,0.0,2840.095841785889,2840.095841785889,0.0,483.3586916928863,483.3586916928863,12.175151389753774,90.0268784927234,102.20202988247718,0.0,179.7954309488781,179.7954309488781,0.0,1440.3588267511575,1440.3588267511575,0.6654524328122275,6.357812683007972,7.023265115820199,17.51479359885612,60.30078954351684,77.81558314237296,0.0,41.7163709933639,41.7163709933639,0.7626640204591039,18.78605985568375,19.548723876142855,0,180.1550636331989,180.1550636331989,0.1746976379977694,0.002555205256021604,0.1746976379977694,2,0.13708021807839868,0.0,0.13708021807839868,1,0.27610306913777094,0.007262259075376382,0.5522061382755419,4,0.27610306913777094,0.007262259075376382,0.5522061382755419,4,0.18837342401268017,0.0,1.130240544076081,0,0.012012567563534284,0.0,0.012012567563534284,0,0.3767335357700284,0.0,0.7534670715400568,1,0.07717026555399349,0.0,0.23151079666198046,0,0.3019523047323792,0.04700182572737122,0.3019523047323792,2,0.2712534428091609,0.010267997467676293,0.8137603284274828,1,0.3019523047323792,0.04700182572737122,0.3019523047323792,2,0.36842099492009445,0.08718633605497018,0.7368419898401889,2,0.10549885225165026,0.004103173912370429,0.10549885225165026,1,0.10549885225165026,0.004103173912370429,0.10549885225165026,1,0.27411332948108386,0.0,4.385813271697342,0,0.2781541932564124,0.0,4.450467092102598,0,0.34536914427735277,0.0,8.634228606933819,0,70.93023255813954,0.9838998211091234,16.457960644007155,5.18783542039356,6.440071556350627,61.95652173913043,20.652173913043477,17.391304347826086,78.125,21.875,9.239130434782608,90.76086956521739,100.0,0.0,67.3913043478261,23.369565217391305,8.152173913043478,1.0869565217391304,276435.3399999992,1428281.8000000136,-1151846.4600000144,226.03053147996664,1167.8510220768712,-941.8204905969046,621523.7000000122,9199.46999999999,426876.8000000013,429.3299999999999,370252.5
1032,464.17339300661564,39.095394239028224,98,96,464.1733930066156,1418.0944038955145,20.42295353182999,11720.818115081353,0.0,10414.565908883296,10414.565908883296,42.7677387925676,89.32467777383319,132.09241656640077,98.77090068226023,832.46932740218,931.2402280844402,0.0,14.812946592012983,14.812946592012983,0.0,1450.835790530137,1450.835790530137,0.0,2884.9326367964954,2884.9326367964954,0.07216666431704634,4.892709023413754,4.9648756877308005,0.0,2898.511610654512,2898.511610654512,0.0,474.6875028119767,474.6875028119767,15.467303699607413,88.66860674778844,104.13591044739586,0.0,176.59758449848266,176.59758449848266,0.0,1431.2053744684822,1431.2053744684822,0.598733928138844,6.314665561913798,6.913399490052642,2.7947101068541977,60.39660245864183,63.19131256549603,82.38204844554093,39.114202338343006,121.49625078388394,0.8412752191213484,18.82672346282716,19.66799868194851,0,180.02494986256661,180.02494986256661,0.1732356867417383,0.002435668337918396,0.1732356867417383,2,0.13490831457994176,0.0,0.13490831457994176,1,0.2822794692639303,0.0046410591931734324,0.5645589385278607,2,0.2822794692639303,0.0046410591931734324,0.5645589385278607,2,0.6880381399865035,28.502124905710424,4.1282288399190215,87,0.16955308096682972,0.0,0.16955308096682972,0,0.7416453027297686,3.6589713368372956,1.4832906054595372,12,0.6400309684091439,18.88111104943006,1.9200929052274316,55,0.7135515544216859,25.41600937227942,0.7135515544216859,75,0.6952553802440492,24.790958877595646,2.0857661407321477,74,0.7135515544216859,25.41600937227942,0.7135515544216859,75,0.7296426492296759,25.417439719868433,1.4592852984593518,75,0.6298373802035807,4.088174358027654,0.6298373802035807,16,0.6298373802035807,4.088174358027654,0.6298373802035807,16,0.22187078158187246,0.0,3.5499325053099593,0,0.2230054256222445,0.0,3.568086809955912,0,0.1166586369170165,0.0,2.9164659229254126,0,72.79860505666957,0.6974716652136007,12.903225806451612,4.969485614646905,8.63121185701831,60.810810810810814,18.243243243243242,20.945945945945947,75.0,25.0,16.071428571428573,83.92857142857143,100.0,0.0,64.91228070175438,17.543859649122805,10.526315789473683,7.017543859649122,219901.78000000046,1090655.4100000104,-870753.6300000099,213.0831201550392,1056.8366375969092,-843.75351744187,573851.7000000103,12827.429999999982,158173.1,234.18,345569.0
1149,642.5757482523034,20.10991884087566,69,68,642.5757482523034,1412.720646964463,21.134450832345465,11377.130797333644,0.0,10141.192218871609,10141.192218871609,16.327393201936957,89.45899354606831,105.78638674800527,56.050451356714376,824.1685342408675,880.2189855975819,0.0,14.743901499266814,14.743901499266814,0.0,1407.2510324276002,1407.2510324276002,0.0,2843.880340662298,2843.880340662298,0.09652609299217478,4.995141288502466,5.091667381494641,0.0,2899.6389708243205,2899.6389708243205,0.0,477.4473048635512,477.4473048635512,9.11370213615939,90.11275638931855,99.22645852547794,0.0,178.80795098317822,178.80795098317822,0.0,1446.1678427822767,1446.1678427822767,0.7781504929830184,6.288118901415163,7.066269394398181,22.07635173071292,59.539818562020294,81.61617029273322,0.0,41.78887032858711,41.78887032858711,0.6025617174244178,18.97277418120001,19.575335898624427,0,177.82250716907546,177.82250716907546,0.17761906416756007,0.005570930996316376,0.17761906416756007,3,0.1412864429453004,0.0,0.1412864429453004,1,0.2871922371017256,0.0036711310887788183,0.5743844742034512,2,0.2871922371017256,0.0036711310887788183,0.5743844742034512,2,0.43677543808074365,8.016410042580574,2.620652628484462,58,0.2476533250925007,0.35474844516384574,0.2476533250925007,5,0.5550519582061927,0.6152789609300254,1.1101039164123854,6,0.33824240131255,3.1531315797447066,1.01472720393765,26,0.4781895592544012,7.322738304792987,0.4781895592544012,47,0.4589265373995955,7.298961271599119,1.3767796121987865,47,0.4781895592544012,7.322738304792987,0.4781895592544012,47,0.5270817088044455,7.621577466189015,1.054163417608891,48,0.34010613010063434,3.0014616589372354,0.34010613010063434,17,0.34010613010063434,3.0014616589372354,0.34010613010063434,17,0.21252851118023247,0.0,3.4004561788837195,0,0.2150867916103896,0.0,3.4413886657662336,0,0.22798016199325288,0.0,5.699504049831322,0,70.50173010380622,1.124567474048443,15.397923875432525,6.055363321799308,6.920415224913495,58.98876404494382,19.101123595505616,21.910112359550563,70.0,30.0,10.16949152542373,89.83050847457628,100.0,0.0,71.66666666666667,18.333333333333332,8.333333333333332,1.6666666666666667,230758.2400000001,1240870.2100000123,-1010111.9700000122,200.83397737162758,1079.9566666666774,-879.1226892950498,608413.9000000117,10236.029999999988,301100.60000000056,234.18,320885.5
909,221.72769946889898,92.57824171523065,188,188,221.727699468899,931.792674172449,20.89926126786304,11033.67551394533,0.0,10119.62764582808,10119.62764582808,12.233248530876608,86.67873522016959,98.9119837510462,17.91715174341116,751.6098339921277,769.5269857355389,0.0,14.74034371281269,14.74034371281269,0.0,1424.5190191936485,1424.5190191936485,0.0,2887.79403237821,2887.79403237821,0.12569140053371666,5.116591795026315,5.242283195560031,,,,0.0,501.62357170247674,501.62357170247674,3.15648970322289,84.63913694158295,87.79562664480584,0.0,184.88952818992777,184.88952818992777,0.0,1419.894198650373,1419.894198650373,0.60771046660709,6.25394745746181,6.861657924068901,12.501202648199726,58.55863032715307,71.05983297535279,,,,0.7596239686049896,18.94943636209378,19.709060330698772,0,178.67062199765957,178.67062199765957,0.17284797205425095,0.0032987252941960193,0.17284797205425095,2,0.1408349315223238,0.0,0.1408349315223238,1,0.2842968447321962,0.0045555051864297905,0.5685936894643924,3,0.2842968447321962,0.0045555051864297905,0.5685936894643924,3,0.9575753623502798,82.16253069353807,5.745452174101679,177,0.7662340473804179,5.042538995075667,0.7662340473804179,12,0.821458890460443,8.44877420697568,1.642917780920886,22,0.9523098671399705,50.83901835436221,2.8569296014199113,106,0.961888837876419,69.21506755349287,0.961888837876419,143,0.9632774693980825,69.20429180958442,2.8898324081942475,143,0.961888837876419,69.21506755349287,0.961888837876419,143,0.9656379340058423,70.16284834976697,1.9312758680116846,144,0.9567433176789253,14.568316859650823,0.9567433176789253,33,0.9567433176789253,14.568316859650823,0.9567433176789253,33,0.05850830867766866,0.0,0.9361329388426985,0,0.058637558930644186,0.0,0.938200942890307,0,0.03547772764833308,0.0,0.886943191208327,0,70.1048951048951,1.2237762237762237,15.55944055944056,5.5069930069930075,7.604895104895106,64.04494382022472,21.34831460674157,14.606741573033707,50.0,50.0,0.0,100.0,100.0,0.0,37.5,62.5,0.0,0.0,91345.11999999972,725545.5900000085,-634200.4700000087,100.4896809680965,798.179966996709,-697.6902860286125,527967.4000000085,11272.589999999986,62888.10000000001,,123417.5
1084,516.2271801821234,26.049894661581117,94,94,516.2271801821234,1423.689662750798,20.056885441649683,11845.021641240362,0.0,10442.299855662823,10442.299855662823,15.856646446348446,90.10731849192848,105.96396493827693,14.303578215342842,842.8863292540507,857.1899074693936,0.0,14.757060831795071,14.757060831795071,0.0,1450.5044396873582,1450.5044396873582,0.0,2886.6502599032647,2886.6502599032647,0.09340533543522637,4.967039858177752,5.060445193612978,0.0,2906.051614627951,2906.051614627951,0.0,486.18923069063175,486.18923069063175,9.515074587274995,89.86009505141948,99.37516963869447,0.0,182.92255644491814,182.92255644491814,0.0,1445.4666097310915,1445.4666097310915,0.6676442804860345,6.339305787968703,7.006950068454737,9.774998845118242,60.85176266513188,70.62676151025012,1.3587388317690057,38.84514217777912,40.20388100954812,0.6338386359302804,18.95666541406445,19.590504049994728,0,180.87427939163663,180.87427939163663,0.17968585141420046,0.003533103038696612,0.17968585141420046,3,0.14098988024132175,0.0,0.14098988024132175,1,0.28880595923062913,0.00478050997978977,0.5776119184612583,3,0.28880595923062913,0.00478050997978977,0.5776119184612583,3,0.5320041580779581,15.457717106354536,3.1920249484677483,85,0.1862151421420971,0.0,0.1862151421420971,1,0.521574812254286,1.5632384619484057,1.043149624508572,10,0.48641312965004957,8.709825028555576,1.4592393889501487,48,0.5840521231484274,14.675807364253942,0.5840521231484274,75,0.5593379446033827,14.248390386051794,1.678013833810148,74,0.5840521231484274,14.675807364253942,0.5840521231484274,75,0.60406331468376,14.718277590494418,1.20812662936752,75,0.42813642000255847,4.22946208088377,0.42813642000255847,23,0.42813642000255847,4.22946208088377,0.42813642000255847,23,0.2304016312278327,0.0,3.686426099645323,0,0.2320480834199236,0.0,3.712769334718778,0,0.15005236538129552,0.0,3.751309134532388,0,70.66895368782161,0.6003430531732418,14.57975986277873,7.032590051457976,7.1183533447684395,61.1764705882353,20.588235294117645,18.235294117647058,72.22222222222221,27.77777777777778,15.0,85.0,100.0,0.0,70.37037037037037,14.814814814814813,11.11111111111111,3.7037037037037033,226558.50000000055,1150858.8300000113,-924300.3300000107,209.00230627306325,1061.677887453885,-852.6755811808216,594112.3000000111,10883.879999999986,200098.50000000012,195.15,345569.0
1185,657.424969508357,23.000148400109726,61,59,657.424969508357,1438.0641914093069,20.758785408011136,11770.27987719571,0.0,10599.98659359003,10599.98659359003,16.380770858106644,91.33656733729062,107.71733819539725,33.159841052131355,796.9191359172288,830.0789769693602,0.0,14.865413749233747,14.865413749233747,0.0,1432.4525101475087,1432.4525101475087,0.0,2850.18373853251,2850.18373853251,0.07873235095497715,4.934648982020386,5.013381332975363,0.0,2916.52617930256,2916.52617930256,0.0,476.13347248551923,476.13347248551923,9.187658489614364,89.99140605965214,99.1790645492665,0.0,180.6751402228541,180.6751402228541,0.0,1446.389609074832,1446.389609074832,0.6962567173676957,6.364130738953057,7.060387456320753,16.313836175165044,60.45649891012795,76.770335085293,2.682638111605411,45.68281756473024,48.36545567633566,0.8143982436269958,18.961546752971604,19.7759449965986,0,179.22564873948602,179.22564873948602,0.18282166930004923,0.004024993078284789,0.18282166930004923,3,0.14289386232657994,0.0,0.14289386232657994,1,0.2928915722890277,0.0043420962724176875,0.5857831445780554,3,0.2928915722890277,0.0043420962724176875,0.5857831445780554,3,0.4799926110480726,9.968323091481157,2.879955666288436,52,0.30077603251138496,0.38712266917782767,0.30077603251138496,4,0.539267693347755,0.9216774047358421,1.07853538669551,6,0.3917535959201858,5.872678706728311,1.1752607877605574,29,0.5635279436375978,8.95565185122859,0.5635279436375978,42,0.5379877510468991,8.58117713361982,1.6139632531406973,41,0.5635279436375978,8.95565185122859,0.5635279436375978,42,0.6088981609571372,8.977344064846246,1.2177963219142744,42,0.4164182694219494,1.70366957038246,0.4164182694219494,9,0.4164182694219494,1.70366957038246,0.4164182694219494,9,0.22545783003381933,0.0,3.6073252805411093,0,0.22827965608880585,0.0,3.6524744974208936,0,0.24546637518913997,0.0,6.136659379728499,0,70.88285229202037,1.3582342954159592,15.195246179966043,5.68760611205433,6.8760611205432935,59.217877094972074,20.11173184357542,20.670391061452513,89.28571428571429,10.714285714285714,10.077519379844961,89.92248062015504,100.0,0.0,70.0,20.0,8.461538461538462,1.5384615384615385,234912.48,1275121.970000013,-1040209.490000013,198.23837974683545,1076.0522953586608,-877.8139156118253,625099.1000000123,10495.169999999987,318251.9000000006,390.29999999999995,320885.5
